state,pop_total,pop_growth,pop_density,pop_urban,pop_children,pop_elderly,pop_citizen,pop_female,pop_hs,pop_college,pop_white,pop_black,pop_hispanic,pop_native,pop_asian,pop_pacific,pop_two,econ_poverty,econ_income,econ_ineq,econ_homeless,econ_unemp,econ_cost,econ_gsp,econ_corptax,econ_taxes,econ_spending,enviro_air,enviro_temp,enviro_area,enviro_human,enviro_worried,enviro_reg,vote_clinton,vote_trump,vote_turnout16,vote_turnout18,vote_registered,vote_id,vote_mail,poll_trump,poll_dem,poll_rep,poll_class,party_gov,party_senate,party_house,party_ag,culture_relig,culture_lgbt,culture_ios,culture_football,crim_prison,crim_race,crim_disen,crim_penalty,crim_murders,gun_owners,gun_count,gun_deaths,gun_reg,gun_carry,gun_purchase,gun_open,gun_score,blm_killings,blm_black,blm_race,blm_protests,blm_arrests,blm_injuries,blm_teargas,covid_cases,covid_rate,covid_deaths,covid_deathrate,covid_tests,covid_pos,covid_race,covid_open,covid_masks,covid_dist,covid_calls,health_life,health_exercise,health_vegan,health_weight,health_abort,health_deaths,health_heart,health_mental,health_suicide,ins_employer,ins_medicaid,ins_medicare,ins_none,ins_market,hp_medicaid,hp_medicare,hp_family,hp_sick,drugs_alc,drugs_alcrate,drugs_cigs,drugs_smokes,drugs_overdose,drugs_recpot,drugs_medpot
Alabama,4908620,2.57,96.9221,59.04,24,17,98,52,85.8,24.9,66,26,4,0,1,NA,2,17,48123,47.69,3261,3.5,89.3,221736,0.065,2262,5578,46.6,62.8,50645,46.193,52.015,67.757,34.36,62.08,58.8,46.9,69,2,1,53,35,50,-2,0,0,0,0,77,2383.562,71.27,254352376,23724,3.3,7.62,2,12.2,48.9,161641,21.8,0,1,0,1,0,345,43.7,1.7,64,12.3,7,26.7,109004,2230,1925,39,1177779,2,1.01,81,3,-11,504,75.5,49.8,0,69.7,5899,918.1,224.7,21.4,16.5,47,20,16,10,0,5567,9723,0,0,2.01,5,5.51,19.2,16.6,0,0
Alaska,734002,2.81,1.2863,66.02,27,12,97,49,92.7,29.2,60,3,7,16,6,1,7,11,73181,41.74,1907,5.6,129.9,54734,0.094,2226,14016,29.1,26.6,570641,47.609,56.442,68.737,36.55,51.28,61,54.5,67.7,1,1,50,31,52,-2,0,0,0,NA,45,2861.0276,74.07,0,1905,3.8,2.61,0,7.5,61.7,15824,21,0,0,0,1,0,67,11.3,3.8,29,0,0,0,4309,584,28,4,334864,0,1.17,96,0,17,10,78.8,63.1,0,64.2,1334,700.3,129.7,20.5,24.4,48,21,9,12,0,2053,741,0,0,2.94,7.4,9.79,19.1,14.6,1,1
Arizona,7378490,15.15,64.9549,89.81,24,18,93,51,86.8,28.9,54,4,32,4,3,0,2,14,56581,46.82,10007,5.5,97,348297,0.049,2272,5238,45.4,60.3,113594,51.541,59.557,70.923,45.13,48.67,54.9,46.9,68.6,3,1,41,40,42,0,0,0,0,0,53,3279.8039,62.12,94242023,40263,4.8,4.25,2,6.1,32.3,179738,15.3,0,0,0,1,0,497,9.2,2.3,56,6.8,4.5,28.6,194005,2705,4506,63,1380773,2,0.6,77,0,-25,"2,054",79.9,55.2,2.2,64.7,12655,669.2,136.4,19.2,19.2,44,22,16,11,0,12139,11069,0,1,2.31,5.7,8.05,14,23.8,0,1
Arkansas,3039000,4,58.403,56.16,25,17,97,51,86.2,22.6,72,15,8,1,2,0,3,17,45869,47.08,2717,4.8,86.9,128419,NA,3266,8519,43.1,60.4,52035,46.61,52.986,66.568,33.65,60.57,52.8,41,58.5,2,1,50,36,45,-1,0,0,0,0,70,2500.8226,68.25,101908655,18028,3.8,2.93,2,9.1,57.9,79841,18.9,0,0,0,1,0,190,33.1,2.2,36,3.7,3.7,71.4,53077,1761,603,20,636180,1,1.47,78,3,-4,217,76,51.6,0.3,70.5,3771,876.6,217.4,20.3,18.4,42,27,16,8,1,6436,5536,0,0,1.8,5.7,6.07,22.7,15.7,0,1
California,39937500,7.01,256.3728,94.95,24,14,87,51,82.9,33.3,37,5,39,0,15,0,3,13,71805,48.8,151278,5.3,151.7,2997733,0.0884,4424,6834,46,59.4,155779,59.158,67.42,74.444,61.73,31.62,56.5,48.3,61.5,0,2,29,51,30,2,1,1,1,1,49,4043.8185,66.23,248257825,129920,8.8,0.74,1,4.8,20.1,344622,7.5,1,1,1,0,4,2047,17.2,3.4,665,9.4,4.1,12.6,628031,1588,11242,28,9185787,1,0.52,22,3,-31,"13,110",81.3,56.9,4.3,62.2,NA,609,139.7,18.5,10.8,47,26,11,7,2,83875,64795,1,1,2.33,6.3,5.89,11.2,12.8,1,1
Colorado,5845530,15.79,56.4012,86.15,24,14,95,50,91.4,40.1,68,4,22,0,3,0,3,10,69117,45.9,9619,4.5,105.6,371750,0.0463,2599,6996,47.1,45.1,103642,53.04,60.301,71.856,48.16,43.25,70,60,65.6,1,2,37,46,37,1,1,1,1,1,47,3421.4177,66.7,81627641,19824,7.3,0.74,0,4.7,34.3,92435,15.2,0,1,0,0,2.33,362,10.7,2.7,96,5.4,4.1,21.1,53370,937,1896,33,779759,0,1.26,52,2,-10,"1,599",80.5,62,2.2,58.9,10114,651.4,124.3,21.5,21.8,52,18,12,8,2,9004,7013,0,0,2.81,8.9,5.65,14.5,16.8,1,1
Connecticut,3563080,-0.45,735.8695,87.99,22,17,93,51,90.5,38.9,66,10,17,0,5,NA,2,10,74168,49.47,3033,3.7,127.7,275727,0.075,5341,9282,45,49,4842,56.8,65.322,76.101,54.57,40.93,63.7,54.2,68,1,1,31,51,32,2,1,1,1,1,43,3115.2823,75.09,31743059,9626,9.4,0.61,0,2.8,16.6,82400,4.9,1,1,1,1,3.67,81,35.4,3.5,198,4,0,0,51267,1435,4456,125,771378,1,1.33,65,3,-17,"1,130",80.9,52.9,2.9,64.4,9938,644.2,142.1,19,10.5,54,21,14,5,2,8668,7410,1,1,2.45,6.4,9.52,12.2,30.7,0,1
Delaware,982895,9.26,504.3073,83.3,22,19,95,52,89.8,31.4,62,21,9,0,4,NA,3,12,62852,44.88,921,5.1,108.1,73481,0.087,4363,11235,46.4,55.3,1949,53.2,59.152,73.056,53.09,41.72,64.2,50.8,66.3,1,1,36,45,33,2,1,1,1,1,52,3459.1691,72.56,12038139,4066,4.8,2.12,0,6.8,5.2,4852,11.6,0,1,0,1,3,42,51.5,2.5,13,0,0,0,16536,1710,593,61,167445,1,1.22,59,3,-7,45,78.7,49.2,1.1,67.8,2785,757.2,159.1,20,11.4,50,21,17,6,0,2241,2004,0,0,3.72,6.6,6.35,16.5,43.8,0,1
District of Columbia,720687,19.11,11814.541,100,20,12,93,53,NA,NA,37,45,11,NA,4,NA,3,17,82372,NA,6521,6,NA,140661,NA,11331,NA,NA,NA,NA,61.332,70.604,79.318,NA,NA,60.4,42.4,77.6,0,2,NA,70,11,2,1,1,NA,1,53,NA,64.12,7557856,NA,NA,NA,0,NA,NA,NA,16.7,NA,NA,NA,NA,NA,44,93.8,2.1,64,6.7,0,25,13273,1890,597,85,376855,1,NA,NA,NA,-51,144,78.5,NA,14.9,55.8,1267,718.8,187,22.2,7.4,53,28,8,3,2,2813,1023,1,1,NA,10.6,NA,13.8,35.4,0,1
Florida,21993000,16.7,410.1259,91.16,21,21,91,52,88,29.2,53,15,26,0,3,0,2,13,52594,48.52,28328,4.3,97.9,1039236,0.0446,2158,3696,38.9,70.7,53625,52.022,59.324,72.498,47.82,49.02,64.5,53.6,62.7,2,1,41,42,39,0,0,0,0,0,54,3510.2078,70.47,307971680,98504,3.6,10.43,2,6.6,32.5,343288,12.9,0,1,0,0,1.67,980,35.2,2.3,229,8.4,1.1,17.6,570024,2676,9539,45,6938755,2,0.97,68,1,-25,"5,295",80.1,52.8,2.7,65.9,72023,657.9,143.1,17.4,15.1,40,18,17,13,0,23049,47697,0,0,2.65,4.8,6.3,14.5,22.8,0,1
Georgia,10736100,10.55,186.6726,75.07,26,14,94,52,86.7,30.7,52,31,10,0,4,0,2,14,56183,48.16,10443,4.2,89.2,592153,0.0575,2244,4889,48.2,63.5,57513,49.412,58.184,71.56,45.64,50.77,59.1,53.9,66.2,4,1,41,42,40,0,0,0,0,0,66,3315.9155,70.08,205561541,53094,3.2,3.23,2,7.7,31.6,190050,15.7,0,1,0,1,0,580,50.6,1.6,115,8.9,3.4,22.7,238861,2271,4727,45,1943347,2,0.82,73,1,-14,"1,417",77.7,52.3,1.4,67.2,31009,790.2,175.8,18.1,14.5,49,17,12,14,0,10896,15318,0,0,1.94,4.9,6.39,16.1,13.2,0,0
Hawaii,1412690,3.57,219.9424,91.93,23,19,92,51,91.8,32.5,21,2,10,NA,38,10,20,9,77765,43.69,6412,2.6,192.9,93798,0.064,5431,10699,21.2,70,6423,61.229,68.665,75.626,62.22,30.03,42.3,38.7,53.9,1,2,29,50,28,2,1,1,1,NA,47,3680.9208,71.42,12737691,3425,2.4,0.57,0,3.1,45.1,7859,4,1,1,1,1,3.67,64,1.7,0.9,20,0,0,NA,4839,341,40,3,199734,0,0.63,43,2,-38,252,82,61.9,4.2,59.5,2026,572.5,125.6,17.6,11.8,55,17,15,4,0,2260,2036,0,0,2.63,5.5,9.55,13.4,14.3,0,1
Idaho,1826160,16.26,22.097,70.58,27,16,97,50,90.6,26.9,82,1,13,1,2,NA,2,12,52225,44.57,2315,2.6,92.3,77052,0.0693,2764,4549,44.3,44.4,82643,47.608,54.434,68.239,27.49,59.26,59.2,48,60.6,2,1,53,31,53,-2,0,0,0,0,51,1971.3497,61.79,30674419,7752,4.7,1.89,2,2.3,56.9,49566,16.6,0,0,0,1,0,88,1.3,1.3,27,0,0,25,27942,1593,273,16,320490,2,1.1,90,0,9,156,79.4,58.8,0,64.1,1272,726.6,157.9,24.5,23.9,47,17,15,11,2,1919,2370,0,0,2.92,5.9,5.41,14.7,14.6,0,0
Illinois,12659700,-1.41,228.0246,88.49,24,15,93,51,88.9,34.1,61,14,17,0,6,0,2,12,62992,47.89,10199,4.6,94.5,865310,0.095,3128,5720,43.6,51.8,55519,54.58,61.235,75.559,55.83,38.76,62.2,50.8,67.8,0,1,33,50,33,2,1,1,1,1,51,3365.0086,66.72,166405751,41427,8.8,0.5,0,8,26.2,146487,10.9,0,1,1,0,3.67,407,59.2,4.2,211,3.3,1.3,4.8,209186,1642,7967,63,3895886,1,1.18,46,3,-10,"3,081",79.3,51.1,1.9,66.6,39856,716.9,163.9,18.1,11.3,54,19,13,7,0,22298,22520,0,0,2.32,6.4,11.5,15.5,21.3,0,1
Indiana,6745350,3.93,188.2809,72.44,25,16,97,51,88.6,25.9,79,9,7,0,2,NA,2,13,54181,44.94,5471,3.2,90,366801,0.055,2899,5021,47.5,51.7,35826,46.281,49.973,68.767,37.91,56.82,56.4,46,65.3,4,0,44,41,43,0,0,0,0,0,54,3394.9313,67.8,251650058,26001,4.8,0.59,2,7.4,33.8,114019,14.7,0,1,0,1,0.67,296,34.9,3.9,98,6.2,1.3,22.2,81006,1210,3135,47,1538623,1,1.18,72,3,-3,168,77.4,49.6,0.5,66.4,7957,832.7,180.7,22.5,16,54,18,15,8,0,11306,12042,0,0,2.17,5.2,5.97,21.1,25.6,0,0
Iowa,3179850,4.23,56.9284,64.02,25,17,96,51,92,28.2,86,3,6,0,3,NA,2,11,58570,44.22,2315,3.7,90.1,189702,0.12,3196,7426,37.6,47.8,55857,49.557,56.083,70.354,41.74,51.15,68.4,57.6,74,1,1,43,42,42,0,0,0,0,1,55,2735.9781,64.13,159646096,8999,11.1,2.17,0,2.7,33.8,28494,8.7,0,1,1,1,2,129,14.2,4.7,77,3.1,1.6,23.5,52829,1674,987,31,780233,1,2.06,92,0,8,304,79.6,51.5,0.3,69.5,3989,723.9,165.1,19.9,15.5,54,19,15,5,0,4916,5224,0,0,2.4,7.2,6.29,16.6,9.6,0,0
Kansas,2910360,1.82,35.5968,74.2,26,16,96,51,90.7,32.9,76,5,12,1,3,NA,3,12,56422,45.55,2381,3.1,89,168318,0.07,3279,5473,42.8,54.3,81759,47.872,55.859,68.878,36.05,56.65,57.7,50.8,71.5,4,1,48,34,48,-2,1,0,0,0,55,2508.2808,68.28,116322085,9687,7,0.8,2,5.9,32.2,52634,14.8,0,0,0,1,0,189,15.9,3.2,46,8.6,5.9,37.5,35167,1208,405,14,530040,1,1.34,86,3,-1,198,78.6,51.8,0.3,68.6,6931,771.3,158.9,19.6,19.2,55,14,14,9,0,3465,4828,0,0,1.92,5.5,5.83,17.3,12.4,0,0
Kentucky,4499690,3.48,113.9566,58.38,24,16,98,51,85.7,23.6,85,8,4,0,1,NA,2,17,48375,47.41,4079,5.8,90.9,208088,0.05,2699,7633,46.1,55.6,39486,45.148,49.185,66.734,32.68,62.52,58.6,47.4,73.5,1,1,51,41,45,0,1,0,0,0,63,2600.1791,67.67,119931278,23539,3.3,9.14,2,6.1,42.4,81058,16.9,0,1,0,1,0,217,19.2,2.4,101,9.6,8.2,30,39691,888,818,18,742441,1,1.09,52,3,-11,264,75.9,47.5,0.2,68.5,3188,920,198.3,22.1,17.4,47,26,15,6,1,9830,8768,0,0,1.98,5,5.4,23.4,30.9,0,0
Louisiana,4645180,2.21,107.5174,73.19,25,15,98,52,84.8,23.7,59,32,5,1,2,NA,2,19,46145,49.03,2941,6.9,93.9,257288,0.08,2437,6707,40.4,66.4,43204,46.797,54.975,67.589,38.45,58.09,60,43.4,68,2,0,49,40,43,0,1,0,0,0,71,2992.3491,75.73,150738822,33706,4,3.04,2,13.3,44.5,116831,21.4,0,1,0,1,0,307,61,1.9,72,9.8,3.9,9.1,138485,2972,4526,97,1654834,2,1.17,54,3,-18,927,76,50.5,1,69.4,9362,870.9,212.2,20.6,15.1,42,29,13,8,0,10971,9123,0,0,2.59,6.9,5.44,20.5,25.4,1,1
Maine,1345790,1.37,43.6336,38.66,19,21,98,51,92.3,30.9,93,1,2,0,1,NA,2,11,56277,45.15,2106,3.2,117.5,64856,0.0893,3295,6281,36.5,41,30843,51.236,57.286,72.532,47.83,44.87,70.7,58.8,78.4,0,1,42,47,39,1,1,1,1,NA,34,3938.2073,72.03,8072358,1795,6,0,0,0,22.6,15371,10.3,0,0,0,1,0,57,3.8,3.8,61,4.3,0,5.9,4213,315,127,9,186968,0,16.77,71,3,18,252,NA,54.9,4.6,65.7,1836,753.9,147,20.8,18.4,48,18,17,8,0,2774,2791,0,0,2.81,6.5,7.37,17.8,27.9,0,1
Maryland,6083120,5.09,626.6735,87.2,23,15,93,52,90,39.6,50,29,10,0,6,NA,3,9,80776,45.13,6561,3.3,129.7,412584,0.0825,3711,7256,47,54.2,9707,58.027,65.415,76.566,60.33,33.91,66.4,53.5,72.3,0,1,30,56,28,2,0,1,1,1,54,3254.9087,69.19,59487844,19232,4.7,0.46,0,9.3,20.7,103109,11.7,1,1,1,1,3.67,256,64.6,2.2,87,3.4,0,0,101235,1675,3650,60,1784753,1,1.09,60,3,-19,"1,898",79.6,50.9,2.1,66.5,NA,714.1,161.9,17,10.1,56,19,13,6,2,11497,10857,0,1,2.15,5.1,7.75,12.5,37.2,1,1
Massachusetts,6976600,6.25,894.4359,91.97,21,17,92,51,90.4,42.9,71,7,12,0,7,NA,3,10,77385,48.26,18471,2.9,131.6,569488,0.08,4296,8300,41.4,47.9,7800,58.871,66.465,77.304,60.01,32.81,67.2,53.7,68,0,1,27,57,26,2,0,1,1,1,33,4242.7544,74.56,66861883,8286,7.5,0.21,0,2.3,22.6,37152,3.5,0,1,1,1,3.67,116,26,3.7,201,3.8,1.3,4.7,123842,1794,8842,128,1901926,1,1.31,60,3,-19,"1,495",80.7,55.3,3.3,61.6,18570,670.6,131.5,21.2,9.9,55,23,13,3,2,17837,14152,1,1,2.57,7.1,9.95,13.4,32.8,1,1
Michigan,10045000,1.7,177.665,74.57,23,17,97,51,90.5,28.6,75,14,5,0,3,NA,3,14,54909,46.48,8575,4.1,88.9,527096,0.06,3052,5671,42.5,44.4,56539,53.1,56.919,73.403,47.27,47.5,64.7,56.5,73.4,2,1,40,45,38,1,1,0,0,1,53,3096.0677,65.38,249471749,39666,6.6,0.57,0,6.5,28.8,65742,12.9,1,1,0,1,2,370,42.7,3.1,198,4.8,3.4,6.8,102749,1029,6592,66,2541370,1,1.75,54,3,-4,"2,616",78.2,51.5,0.8,67.5,27151,782.3,195,19.1,15,51,22,15,5,0,16441,20970,0,0,2.34,5.7,8,18.9,26.6,0,1
Minnesota,5700670,7.34,71.5922,73.27,24,16,96,50,93,35.4,80,6,5,1,5,NA,3,10,68388,44.9,7977,3.1,101.6,368852,0.098,4758,7103,38.3,41.2,79627,51.979,58.356,71.896,46.44,44.92,74.1,63.8,74.9,0,1,37,47,37,2,1,0,1,1,49,3069.8146,69.05,81229274,10708,11,1.51,0,2.3,36.7,79307,7.8,0,1,1,1,2.33,163,19.7,3.3,97,11.5,1.3,36.8,65716,1171,1758,31,1357850,1,3.15,61,2,-7,"1,020",81,54.8,0.6,65.8,9861,648,119,19.3,13.1,57,18,14,4,2,12708,8801,0,0,2.77,5.6,8.1,15.1,11.5,0,1
